gene_name,cell_type,ubiquitousness_index,gene_type,organ,sensitivity_human,specificity_human
HHIP,Fibroblasts,0.008,protein-coding gene,Connective tissue,0.0,0.0129828
FMO2,Fibroblasts,0.014,protein-coding gene,Connective tissue,0.045045,0.00227199
COL1A2,Fibroblasts,0.097,protein-coding gene,Connective tissue,0.711712,0.103213
COL3A1,Fibroblasts,0.086,protein-coding gene,Connective tissue,0.666667,0.0788705
VIM,Fibroblasts,0.427,protein-coding gene,Connective tissue,0.918919,0.578708
FSTL1,Fibroblasts,0.123,protein-coding gene,Connective tissue,0.594595,0.0918533
GSN,Fibroblasts,0.206,protein-coding gene,Connective tissue,0.63964,0.186628
SPARC,Fibroblasts,0.307,protein-coding gene,Connective tissue,0.837838,0.209023
S100A4,Fibroblasts,0.098,protein-coding gene,Connective tissue,0.747748,0.357676
NT5E,Fibroblasts,0.005,protein-coding gene,Connective tissue,0.027027,0.0064914
COL1A1,Fibroblasts,0.081,protein-coding gene,Connective tissue,0.657658,0.0798442
MGP,Fibroblasts,0.082,protein-coding gene,Connective tissue,0.621622,0.0983447
NOX4,Fibroblasts,0.003,protein-coding gene,Connective tissue,0.0,0.0
THY1,Fibroblasts,0.095,protein-coding gene,Connective tissue,0.306306,0.0223953
CD40,Fibroblasts,0.012,protein-coding gene,Connective tissue,0.00900901,0.0133074
SERPINH1,Fibroblasts,0.219,protein-coding gene,Connective tissue,0.522523,0.142486
CD44,Fibroblasts,0.127,protein-coding gene,Connective tissue,0.396396,0.296982
PDGFRA,Fibroblasts,0.044,protein-coding gene,Connective tissue,0.396396,0.0350536
EN1,Fibroblasts,0.003,protein-coding gene,Connective tissue,0.0,0.0
DCN,Fibroblasts,0.084,protein-coding gene,Connective tissue,0.936937,0.0772476
CEBPB,Fibroblasts,0.138,protein-coding gene,Connective tissue,0.477477,0.14703
EGR1,Fibroblasts,0.202,protein-coding gene,Connective tissue,0.63964,0.171373
FOSB,Fibroblasts,0.125,protein-coding gene,Connective tissue,0.54955,0.189224
FOSL2,Fibroblasts,0.045,protein-coding gene,Connective tissue,0.135135,0.0311587
HIF1A,Fibroblasts,0.089,protein-coding gene,Connective tissue,0.189189,0.0986693
KLF2,Fibroblasts,0.162,protein-coding gene,Connective tissue,0.117117,0.0944499
KLF4,Fibroblasts,0.126,protein-coding gene,Connective tissue,0.396396,0.129503
KLF6,Fibroblasts,0.3,protein-coding gene,Connective tissue,0.648649,0.423239
KLF9,Fibroblasts,0.13,protein-coding gene,Connective tissue,0.198198,0.0217462
NFAT5,Fibroblasts,0.017,protein-coding gene,Connective tissue,0.045045,0.0201233
NFATC1,Fibroblasts,0.006,protein-coding gene,Connective tissue,0.0,0.00519312
NFKB1,Fibroblasts,0.028,protein-coding gene,Connective tissue,0.027027,0.025641
NR4A1,Fibroblasts,0.083,protein-coding gene,Connective tissue,0.0540541,0.00292113
NR4A2,Fibroblasts,0.033,protein-coding gene,Connective tissue,0.0810811,0.0778968
PBX1,Fibroblasts,0.175,protein-coding gene,Connective tissue,0.198198,0.0730282
RUNX1,Fibroblasts,0.054,protein-coding gene,Connective tissue,0.117117,0.0282376
STAT3,Fibroblasts,0.099,protein-coding gene,Connective tissue,0.504505,0.136644
TCF4,Fibroblasts,0.394,protein-coding gene,Connective tissue,0.441441,0.159688
ZEB2,Fibroblasts,0.144,protein-coding gene,Connective tissue,0.126126,0.083739
LAMC1,Fibroblasts,0.058,protein-coding gene,Connective tissue,0.405405,0.0379747
MEDAG,Fibroblasts,0.007,protein-coding gene,Connective tissue,0.189189,0.00292113
LAMB1,Fibroblasts,0.051,protein-coding gene,Connective tissue,0.378378,0.0344044
DKK3,Fibroblasts,0.034,protein-coding gene,Connective tissue,0.234234,0.0305096
TBX20,Fibroblasts,0.004,protein-coding gene,Connective tissue,0.0,0.0
MDK,Fibroblasts,0.222,protein-coding gene,Connective tissue,0.333333,0.24148
GSTM5,Fibroblasts,0.201,protein-coding gene,Connective tissue,0.045045,0.00389484
NGF,Fibroblasts,0.003,protein-coding gene,Connective tissue,0.0,0.00064914
VEGFA,Fibroblasts,0.021,protein-coding gene,Connective tissue,0.045045,0.0240182
FGF2,Fibroblasts,0.004,protein-coding gene,Connective tissue,0.171171,0.0123337
P4HTM,Fibroblasts,0.013,protein-coding gene,Connective tissue,0.018018,0.0431678
CKAP4,Fibroblasts,0.078,protein-coding gene,Connective tissue,0.207207,0.0610191
INMT,Fibroblasts,0.016,protein-coding gene,Connective tissue,0.036036,0.00876339
CXCL14,Fibroblasts,0.049,protein-coding gene,Connective tissue,0.540541,0.0246673
THY1,Hematopoietic stem cells,0.095,protein-coding gene,Bone,0.0,0.0322682
MPL,Hematopoietic stem cells,0.001,protein-coding gene,Bone,0.0,0.0
KIT,Hematopoietic stem cells,0.015,protein-coding gene,Bone,0.0,0.00250627
PROM1,Hematopoietic stem cells,0.021,protein-coding gene,Bone,0.0,0.00720551
FLT3,Hematopoietic stem cells,0.009,protein-coding gene,Bone,0.0,0.00093985
SLAMF1,Hematopoietic stem cells,0.001,protein-coding gene,Bone,0.0,0.00156642
CXCR4,Hematopoietic stem cells,0.04,protein-coding gene,Bone,0.0,0.198308
TEK,Hematopoietic stem cells,0.02,protein-coding gene,Bone,0.0,0.0018797
ABCB1,Hematopoietic stem cells,0.001,protein-coding gene,Bone,0.0,0.0056391
ABCG2,Hematopoietic stem cells,0.038,protein-coding gene,Bone,0.0,0.00469925
BAALC,Hematopoietic stem cells,0.018,protein-coding gene,Bone,0.0,0.0153509
SPN,Hematopoietic stem cells,0.029,protein-coding gene,Bone,0.0,0.0507519
CDCP1,Hematopoietic stem cells,0.01,protein-coding gene,Bone,0.0,0.0250627
MYADM,Hematopoietic stem cells,0.063,protein-coding gene,Bone,0.0,0.119361
KITLG,Hematopoietic stem cells,0.001,protein-coding gene,Bone,0.0,0.00626566
TGFB2,Hematopoietic stem cells,0.041,protein-coding gene,Bone,0.0,0.00156642
PTPRE,Hematopoietic stem cells,0.054,protein-coding gene,Bone,0.0,0.0404135
TAF7,Hematopoietic stem cells,0.092,protein-coding gene,Bone,0.0,0.309211
GATA2,Hematopoietic stem cells,0.02,protein-coding gene,Bone,0.0,0.0134712
GPR171,Hematopoietic stem cells,0.016,protein-coding gene,Bone,0.0,0.0206767
ANGPT1,Hematopoietic stem cells,0.01,protein-coding gene,Bone,0.0,0.0018797
PROCR,Hematopoietic stem cells,0.016,protein-coding gene,Bone,0.0,0.0285088
NFE2,Hematopoietic stem cells,0.015,protein-coding gene,Bone,0.0,0.0175439
NKX2-3,Hematopoietic stem cells,0.003,protein-coding gene,Bone,0.0,0.00438596
HHEX,Hematopoietic stem cells,0.037,protein-coding gene,Bone,0.0,0.0228697
MEIS1,Hematopoietic stem cells,0.024,protein-coding gene,Bone,0.0,0.0379073
LYL1,Hematopoietic stem cells,0.039,protein-coding gene,Bone,0.0,0.0635965
ELF1,Hematopoietic stem cells,0.094,protein-coding gene,Bone,0.0,0.123747
HLF,Hematopoietic stem cells,0.02,protein-coding gene,Bone,0.0,0.0
RGS18,Hematopoietic stem cells,0.019,protein-coding gene,Bone,0.0,0.00344612
MYCT1,Hematopoietic stem cells,0.022,protein-coding gene,Bone,0.0,0.0216165
ADGRG1,Hematopoietic stem cells,0.045,protein-coding gene,Bone,0.0,0.0213033
DNMT3B,Hematopoietic stem cells,0.012,protein-coding gene,Bone,0.0,0.0103383
MYCN,Hematopoietic stem cells,0.012,protein-coding gene,Bone,0.0,0.00344612
ARID3A,Hematopoietic stem cells,0.018,protein-coding gene,Bone,0.0,0.0479323
ITGA2B,Hematopoietic stem cells,0.003,protein-coding gene,Bone,0.0,0.00407268
GATA3,Hematopoietic stem cells,0.03,protein-coding gene,Bone,0.0,0.0200501
ROBO4,Hematopoietic stem cells,0.013,protein-coding gene,Bone,0.0,0.00438596
PITX2,Hematopoietic stem cells,0.01,protein-coding gene,Bone,0.0,0.0109649
TXNIP,Hematopoietic stem cells,0.194,protein-coding gene,Bone,0.0,0.354637
RUNX1,Hematopoietic stem cells,0.054,protein-coding gene,Bone,0.0,0.0313283
PTPRS,Hematopoietic stem cells,0.209,protein-coding gene,Bone,0.0,0.0
PTPRC,Hematopoietic stem cells,0.125,protein-coding gene,Bone,0.0,0.216165
CD44,Hematopoietic stem cells,0.127,protein-coding gene,Bone,0.0,0.300439
GFI1,Hematopoietic stem cells,0.001,protein-coding gene,Bone,0.0,0.0
CD48,Hematopoietic stem cells,0.076,protein-coding gene,Bone,0.0,0.116228
HMGB3,Hematopoietic stem cells,0.271,protein-coding gene,Bone,0.0,0.161028
TLR2,Hematopoietic stem cells,0.014,protein-coding gene,Bone,0.0,0.00093985
APC,Hematopoietic stem cells,0.1,protein-coding gene,Bone,0.0,0.0131579
GNL3,Hematopoietic stem cells,0.094,protein-coding gene,Bone,0.0,0.120301
MGST1,Hematopoietic stem cells,0.157,protein-coding gene,Bone,0.0,0.182018
G0S2,Hematopoietic stem cells,0.04,protein-coding gene,Bone,0.0,0.0454261
PRNP,Hematopoietic stem cells,0.242,protein-coding gene,Bone,0.0,0.0802005
CD34,Hematopoietic stem cells,0.071,protein-coding gene,Bone,0.0,0.0404135
BMI1,Hematopoietic stem cells,0.009,protein-coding gene,Bone,0.0,0.00532581
CD59,Hematopoietic stem cells,0.07,protein-coding gene,Bone,0.0,0.371554
ITGA4,Hematopoietic stem cells,0.036,protein-coding gene,Bone,0.0,0.0112782
ANPEP,Hematopoietic stem cells,0.015,protein-coding gene,Bone,0.0,0.0128446
CD33,Hematopoietic stem cells,0.017,protein-coding gene,Bone,0.0,0.0125313
IL3RA,Hematopoietic stem cells,0.008,protein-coding gene,Bone,0.0,0.0
HLX,Hematopoietic stem cells,0.022,protein-coding gene,Bone,0.0,0.00281955
NKX3-1,Hematopoietic stem cells,0.002,protein-coding gene,Bone,0.0,0.0134712
THSD1,Hematopoietic stem cells,0.008,protein-coding gene,Bone,0.0,0.00501253
NCOR2,Hematopoietic stem cells,0.021,protein-coding gene,Bone,0.0,0.00657895
EGR1,Hematopoietic stem cells,0.202,protein-coding gene,Bone,0.0,0.187657
FGD5,Hematopoietic stem cells,0.007,protein-coding gene,Bone,0.0,0.00093985
MECOM,Hematopoietic stem cells,0.011,protein-coding gene,Bone,0.0,0.0194236
CTNNAL1,Hematopoietic stem cells,0.028,protein-coding gene,Bone,0.0,0.0924185
VWF,Hematopoietic stem cells,0.016,protein-coding gene,Bone,0.0,0.0266291
PBX2,Hematopoietic stem cells,0.009,protein-coding gene,Bone,0.0,0.00250627
TAL1,Hematopoietic stem cells,0.004,protein-coding gene,Bone,0.0,0.00657895
ERG,Hematopoietic stem cells,0.01,protein-coding gene,Bone,0.0,0.00814536
NEO1,Hematopoietic stem cells,0.02,protein-coding gene,Bone,0.0,0.00501253
EGR3,Hematopoietic stem cells,0.004,protein-coding gene,Bone,0.0,0.00344612
MAFF,Hematopoietic stem cells,0.054,protein-coding gene,Bone,0.0,0.0961779
ITGA6,Hematopoietic stem cells,0.059,protein-coding gene,Bone,0.0,0.0501253
GJB1,Hematopoietic stem cells,0.033,protein-coding gene,Bone,0.0,0.0103383
CDH2,Hematopoietic stem cells,0.059,protein-coding gene,Bone,0.0,0.0491855
ALDH1A1,Hematopoietic stem cells,0.039,protein-coding gene,Bone,0.0,0.0880326
GFI1B,Hematopoietic stem cells,0.005,protein-coding gene,Bone,0.0,0.0191103
NOTCH1,Hematopoietic stem cells,0.007,protein-coding gene,Bone,0.0,0.00469925
NOTCH2,Hematopoietic stem cells,0.096,protein-coding gene,Bone,0.0,0.0200501
PLXDC2,Hematopoietic stem cells,0.046,protein-coding gene,Bone,0.0,0.018797
ESAM,Hematopoietic stem cells,0.064,protein-coding gene,Bone,0.0,0.0429198
ACE,Hematopoietic stem cells,0.022,protein-coding gene,Bone,0.0,0.0256892
TRPC6,Hematopoietic stem cells,0.001,protein-coding gene,Bone,0.0,0.000626566
HOXB5,Hematopoietic stem cells,0.003,protein-coding gene,Bone,0.0,0.00501253
TET2,Hematopoietic stem cells,0.008,protein-coding gene,Bone,0.0,0.00438596
ITGAL,Macrophages,0.013,protein-coding gene,Immune system,0.0,0.00408805
ITGAM,Macrophages,0.025,protein-coding gene,Immune system,0.5,0.00125786
CD14,Macrophages,0.051,protein-coding gene,Immune system,0.416667,0.0251572
FUT4,Macrophages,0.001,protein-coding gene,Immune system,0.0,0.0
FCGR3A,Macrophages,0.006,protein-coding gene,Immune system,0.583333,0.0333333
CD33,Macrophages,0.017,protein-coding gene,Immune system,0.166667,0.0119497
FCGR1A,Macrophages,0.001,protein-coding gene,Immune system,0.333333,0.00251572
CD80,Macrophages,0.0,protein-coding gene,Immune system,0.0,0.0
LILRB4,Macrophages,0.002,protein-coding gene,Immune system,0.5,0.0122642
CD86,Macrophages,0.026,protein-coding gene,Immune system,0.25,0.0113208
CD163,Macrophages,0.005,protein-coding gene,Immune system,0.25,0.00628931
CCR5,Macrophages,0.015,protein-coding gene,Immune system,0.0,0.0
TLR2,Macrophages,0.014,protein-coding gene,Immune system,0.0,0.000943396
TLR4,Macrophages,0.0,protein-coding gene,Immune system,0.0,0.000314465
ADGRE1,Macrophages,0.033,protein-coding gene,Immune system,0.0,0.000628931
GPR34,Macrophages,0.026,protein-coding gene,Immune system,0.333333,0.00377358
TREM2,Macrophages,0.042,protein-coding gene,Immune system,0.75,0.00377358
FABP4,Macrophages,0.028,protein-coding gene,Immune system,0.0833333,0.0100629
S100A8,Macrophages,0.064,protein-coding gene,Immune system,0.166667,0.0795598
CPM,Macrophages,0.015,protein-coding gene,Immune system,0.416667,0.013522
CHIT1,Macrophages,0.003,protein-coding gene,Immune system,0.25,0.000314465
F13A1,Macrophages,0.021,protein-coding gene,Immune system,0.0833333,0.00408805
CX3CR1,Macrophages,0.039,protein-coding gene,Immune system,0.0,0.00220126
CXCL16,Macrophages,0.048,protein-coding gene,Immune system,0.666667,0.063522
TGFBR1,Macrophages,0.031,protein-coding gene,Immune system,0.166667,0.0100629
SLAMF9,Macrophages,0.01,protein-coding gene,Immune system,0.0,0.000628931
SCIMP,Macrophages,0.008,protein-coding gene,Immune system,0.0,0.00157233
LILRA5,Macrophages,0.007,protein-coding gene,Immune system,0.0,0.0103774
CD83,Macrophages,0.045,protein-coding gene,Immune system,0.666667,0.0361635
C3AR1,Macrophages,0.022,protein-coding gene,Immune system,0.25,0.00534591
STAB1,Macrophages,0.018,protein-coding gene,Immune system,0.0833333,0.00220126
MRC1,Macrophages,0.029,protein-coding gene,Immune system,0.416667,0.0081761
PARP14,Macrophages,0.018,protein-coding gene,Immune system,0.416667,0.0421384
FGD2,Macrophages,0.017,protein-coding gene,Immune system,0.0833333,0.0113208
RAB7B,Macrophages,0.013,protein-coding gene,Immune system,0.25,0.00125786
RBPJ,Macrophages,0.051,protein-coding gene,Immune system,0.666667,0.163522
SLCO2B1,Macrophages,0.021,protein-coding gene,Immune system,0.25,0.00314465
NAAA,Macrophages,0.025,protein-coding gene,Immune system,0.0,0.0141509
MARCH1,Macrophages,0.005,protein-coding gene,Immune system,0.333333,0.00471698
EGLN3,Macrophages,0.012,protein-coding gene,Immune system,0.0,0.0150943
JAML,Macrophages,0.005,protein-coding gene,Immune system,0.0833333,0.0289308
FGL2,Macrophages,0.03,protein-coding gene,Immune system,0.25,0.0349057
GPNMB,Macrophages,0.013,protein-coding gene,Immune system,0.75,0.027044
CLEC4D,Macrophages,0.007,protein-coding gene,Immune system,0.0,0.0
ADAM8,Macrophages,0.01,protein-coding gene,Immune system,0.0,0.00566038
ARL11,Macrophages,0.004,protein-coding gene,Immune system,0.0,0.0
MMP12,Macrophages,0.003,protein-coding gene,Immune system,0.0,0.00188679
LYVE1,Macrophages,0.012,protein-coding gene,Immune system,0.25,0.00440252
PLTP,Macrophages,0.009,protein-coding gene,Immune system,0.333333,0.0248428
VSIG4,Macrophages,0.005,protein-coding gene,Immune system,0.666667,0.0110063
MS4A4A,Macrophages,0.002,protein-coding gene,Immune system,0.583333,0.00534591
MS4A6A,Macrophages,0.007,protein-coding gene,Immune system,0.333333,0.0389937
FPR1,Macrophages,0.003,protein-coding gene,Immune system,0.0833333,0.00314465
CD180,Macrophages,0.012,protein-coding gene,Immune system,0.0833333,0.000628931
GDF15,Macrophages,0.014,protein-coding gene,Immune system,0.166667,0.0566038
RAB20,Macrophages,0.017,protein-coding gene,Immune system,0.416667,0.00628931
HFE,Macrophages,0.017,protein-coding gene,Immune system,0.0,0.000314465
TNF,Macrophages,0.008,protein-coding gene,Immune system,0.0,0.00125786
CCR2,Macrophages,0.022,protein-coding gene,Immune system,0.0,0.0
SNX20,Macrophages,0.02,protein-coding gene,Immune system,0.0,0.00125786
FMNL1,Macrophages,0.022,protein-coding gene,Immune system,0.0,0.00660377
GPR132,Macrophages,0.009,protein-coding gene,Immune system,0.0,0.000314465
SLAMF7,Macrophages,0.013,protein-coding gene,Immune system,0.166667,0.00691824
NCEH1,Macrophages,0.025,protein-coding gene,Immune system,0.416667,0.00660377
CCL24,Macrophages,0.011,protein-coding gene,Immune system,0.0,0.0
C5AR1,Macrophages,0.027,protein-coding gene,Immune system,0.583333,0.0119497
CD300A,Macrophages,0.023,protein-coding gene,Immune system,0.166667,0.00786164
CXCL2,Macrophages,0.041,protein-coding gene,Immune system,0.0833333,0.0566038
CCL7,Macrophages,0.017,protein-coding gene,Immune system,0.0,0.000314465
CCL2,Macrophages,0.037,protein-coding gene,Immune system,0.5,0.0632075
IL1B,Macrophages,0.027,protein-coding gene,Immune system,0.166667,0.0248428
IRF5,Macrophages,0.028,protein-coding gene,Immune system,0.0833333,0.0
AHR,Macrophages,0.007,protein-coding gene,Immune system,0.0,0.0113208
MYO1G,Macrophages,0.022,protein-coding gene,Immune system,0.0,0.0238994
DUSP5,Macrophages,0.032,protein-coding gene,Immune system,0.0,0.0496855
GPR171,Macrophages,0.016,protein-coding gene,Immune system,0.0,0.0207547
CCR7,Macrophages,0.016,protein-coding gene,Immune system,0.0,0.0421384
DNASE1L3,Macrophages,0.015,protein-coding gene,Immune system,0.0,0.0100629
CXCL1,Macrophages,0.032,protein-coding gene,Immune system,0.0,0.0459119
SAMSN1,Macrophages,0.046,protein-coding gene,Immune system,0.25,0.0506289
NR4A3,Macrophages,0.01,protein-coding gene,Immune system,0.0833333,0.0119497
CCL22,Macrophages,0.002,protein-coding gene,Immune system,0.166667,0.000314465
S100A4,Macrophages,0.098,protein-coding gene,Immune system,0.916667,0.369182
MMP9,Macrophages,0.015,protein-coding gene,Immune system,0.416667,0.0081761
HILPDA,Macrophages,0.033,protein-coding gene,Immune system,0.0833333,0.0141509
NRP2,Macrophages,0.04,protein-coding gene,Immune system,0.666667,0.0330189
SLC37A2,Macrophages,0.001,protein-coding gene,Immune system,0.0833333,0.0
CTSK,Macrophages,0.027,protein-coding gene,Immune system,0.0,0.0176101
CD36,Macrophages,0.042,protein-coding gene,Immune system,0.666667,0.0320755
LPCAT2,Macrophages,0.034,protein-coding gene,Immune system,0.25,0.00377358
HPGDS,Macrophages,0.033,protein-coding gene,Immune system,0.333333,0.0172956
IFNAR2,Macrophages,0.024,protein-coding gene,Immune system,0.0833333,0.00503145
MS4A7,Macrophages,0.027,protein-coding gene,Immune system,0.833333,0.0292453
SLC11A1,Macrophages,0.017,protein-coding gene,Immune system,0.416667,0.00503145
HPGD,Macrophages,0.044,protein-coding gene,Immune system,0.0833333,0.0191824
CCL3,Macrophages,0.036,protein-coding gene,Immune system,0.166667,0.0072327
CLEC7A,Macrophages,0.03,protein-coding gene,Immune system,0.75,0.0440252
CD5L,Macrophages,0.005,protein-coding gene,Immune system,0.0833333,0.000628931
CCL5,Macrophages,0.042,protein-coding gene,Immune system,0.0,0.0861635
CYTH4,Macrophages,0.053,protein-coding gene,Immune system,0.333333,0.000943396
CD3E,Macrophages,0.041,protein-coding gene,Immune system,0.0,0.1
CD19,Macrophages,0.007,protein-coding gene,Immune system,0.0,0.00786164
CD74,Macrophages,0.169,protein-coding gene,Immune system,0.75,0.362264
CSF1R,Macrophages,0.064,protein-coding gene,Immune system,0.5,0.0160377
LGALS3,Macrophages,0.164,protein-coding gene,Immune system,0.583333,0.307862
CD68,Macrophages,0.063,protein-coding gene,Immune system,0.0,0.0
UCP2,Macrophages,0.013,protein-coding gene,Immune system,0.0,0.00503145
TREML4,Macrophages,0.003,protein-coding gene,Immune system,0.0,0.0
FGR,Macrophages,0.013,protein-coding gene,Immune system,0.416667,0.0204403
CYBB,Macrophages,0.059,protein-coding gene,Immune system,0.916667,0.0342767
CD200,Macrophages,0.111,protein-coding gene,Immune system,0.0,0.022956
CD200R1,Macrophages,0.002,protein-coding gene,Immune system,0.0,0.0
GATA6,Macrophages,0.019,protein-coding gene,Immune system,0.0,0.00471698
ITGAX,Macrophages,0.007,protein-coding gene,Immune system,0.583333,0.0141509
PPARG,Macrophages,0.006,protein-coding gene,Immune system,0.0833333,0.0106918
TYROBP,Macrophages,0.149,protein-coding gene,Immune system,1.0,0.139623
RGS1,Macrophages,0.049,protein-coding gene,Immune system,0.0833333,0.0638365
DAB2,Macrophages,0.068,protein-coding gene,Immune system,0.75,0.045283
P2RY6,Macrophages,0.018,protein-coding gene,Immune system,0.0,0.00283019
MAF,Macrophages,0.072,protein-coding gene,Immune system,0.833333,0.0336478
AIF1,Macrophages,0.085,protein-coding gene,Immune system,0.916667,0.127987
CLEC10A,Macrophages,0.01,protein-coding gene,Immune system,0.0,0.0119497
ADGRE5,Macrophages,0.04,protein-coding gene,Immune system,0.25,0.0380503
SLC15A3,Macrophages,0.016,protein-coding gene,Immune system,0.25,0.00660377
CYP27A1,Macrophages,0.006,protein-coding gene,Immune system,0.5,0.0132075
SLC7A7,Macrophages,0.007,protein-coding gene,Immune system,0.75,0.0176101
RUNX3,Macrophages,0.018,protein-coding gene,Immune system,0.0,0.0207547
SYK,Macrophages,0.011,protein-coding gene,Immune system,0.416667,0.0091195
ITGA2B,Megakaryocytes,0.003,protein-coding gene,Immune system,0.0,0.00407268
GP1BA,Megakaryocytes,0.0,protein-coding gene,Immune system,0.0,0.000313283
ITGB3,Megakaryocytes,0.001,protein-coding gene,Immune system,0.0,0.000313283
MPL,Megakaryocytes,0.001,protein-coding gene,Immune system,0.0,0.0
LAT,Megakaryocytes,0.034,protein-coding gene,Immune system,0.0,0.0140977
PLEK,Megakaryocytes,0.051,protein-coding gene,Immune system,0.0,0.0451128
S100A9,Megakaryocytes,0.061,protein-coding gene,Immune system,0.0,0.103383
S100A8,Megakaryocytes,0.064,protein-coding gene,Immune system,0.0,0.0798872
PF4,Megakaryocytes,0.029,protein-coding gene,Immune system,0.0,0.00344612
F13A1,Megakaryocytes,0.021,protein-coding gene,Immune system,0.0,0.00438596
CD9,Megakaryocytes,0.344,protein-coding gene,Immune system,0.0,0.27099
EPOR,Megakaryocytes,0.004,protein-coding gene,Immune system,0.0,0.0147243
CXCR4,Megakaryocytes,0.04,protein-coding gene,Immune system,0.0,0.198308
GP5,Megakaryocytes,0.001,protein-coding gene,Immune system,0.0,0.0
CXCR1,Megakaryocytes,0.0,protein-coding gene,Immune system,0.0,0.0
CXCR2,Megakaryocytes,0.003,protein-coding gene,Immune system,0.0,0.0
SLAMF1,Megakaryocytes,0.001,protein-coding gene,Immune system,0.0,0.00156642
PDE6B,Megakaryocytes,0.002,protein-coding gene,Immune system,0.0,0.00125313
MATK,Megakaryocytes,0.032,protein-coding gene,Immune system,0.0,0.0184837
SPON2,Megakaryocytes,0.017,protein-coding gene,Immune system,0.0,0.0488722
MKL2,Megakaryocytes,0.035,protein coding gene,Immune system,0.0,0.0056391
TLR9,Megakaryocytes,0.0,protein-coding gene,Immune system,0.0,0.0
KIF5B,Megakaryocytes,0.486,protein-coding gene,Immune system,0.0,0.327068
GATA1,Megakaryocytes,0.008,protein-coding gene,Immune system,0.0,0.0178571
FLI1,Megakaryocytes,0.036,protein-coding gene,Immune system,0.0,0.00595238
PROX1,Megakaryocytes,0.028,protein-coding gene,Immune system,0.0,0.0109649
SYP,Megakaryocytes,0.049,protein-coding gene,Immune system,0.0,0.00720551
TSPAN9,Megakaryocytes,0.028,protein-coding gene,Immune system,0.0,0.00313283
RGS18,Megakaryocytes,0.019,protein-coding gene,Immune system,0.0,0.00344612
TREML1,Megakaryocytes,0.0,protein-coding gene,Immune system,0.0,0.000626566
GATA2,Megakaryocytes,0.02,protein-coding gene,Immune system,0.0,0.0134712
VWF,Megakaryocytes,0.016,protein-coding gene,Immune system,0.0,0.0266291
ALOX12,Megakaryocytes,0.001,protein-coding gene,Immune system,0.0,0.0
SELP,Megakaryocytes,0.003,protein-coding gene,Immune system,0.0,0.00125313
NFATC1,Megakaryocytes,0.006,protein-coding gene,Immune system,0.0,0.00501253
CIB1,Megakaryocytes,0.156,protein-coding gene,Immune system,0.0,0.300439
PLK3,Megakaryocytes,0.01,protein-coding gene,Immune system,0.0,0.0093985
MAFG,Megakaryocytes,0.076,protein-coding gene,Immune system,0.0,0.0435464
IL2RA,Megakaryocytes,0.009,protein-coding gene,Immune system,0.0,0.0200501
PECAM1,Megakaryocytes,0.051,protein-coding gene,Immune system,0.0,0.0441729
PPARG,Megakaryocytes,0.006,protein-coding gene,Immune system,0.0,0.0109649
IL6,Megakaryocytes,0.007,protein-coding gene,Immune system,0.0,0.0134712
IL21R,Megakaryocytes,0.013,protein-coding gene,Immune system,0.0,0.0
LRP1,Megakaryocytes,0.071,protein-coding gene,Immune system,0.0,0.035401
ACHE,Megakaryocytes,0.016,protein-coding gene,Immune system,0.0,0.00469925
VEGFA,Megakaryocytes,0.021,protein-coding gene,Immune system,0.0,0.0247494
TGFB1,Megakaryocytes,0.11,protein-coding gene,Immune system,0.0,0.0451128
GP9,Megakaryocytes,0.001,protein-coding gene,Immune system,0.0,0.000626566
RGS1,Monocytes,0.049,protein-coding gene,Immune system,0.0,0.0644346
APOBEC3A,Monocytes,0.001,protein-coding gene,Immune system,0.192308,0.0028427
CD7,Monocytes,0.03,protein-coding gene,Immune system,0.0,0.104548
TET2,Monocytes,0.008,protein-coding gene,Immune system,0.0,0.00442198
CD40,Monocytes,0.012,protein-coding gene,Immune system,0.0769231,0.0126342
DYSF,Monocytes,0.002,protein-coding gene,Immune system,0.0,0.00315856
CMKLR1,Monocytes,0.003,protein-coding gene,Immune system,0.0,0.000315856
MEFV,Monocytes,0.0,protein-coding gene,Immune system,0.0,0.0
HCK,Monocytes,0.031,protein-coding gene,Immune system,0.0384615,0.0227416
FCGR3B,Monocytes,0.0,protein-coding gene,Immune system,0.0,0.0
PADI4,Monocytes,0.005,protein-coding gene,Immune system,0.0,0.000947568
GHSR,Monocytes,0.0,protein-coding gene,Immune system,0.0,0.0
ITGAX,Monocytes,0.007,protein-coding gene,Immune system,0.0384615,0.0161087
SELE,Monocytes,0.001,protein-coding gene,Immune system,0.0,0.00536955
TLR4,Monocytes,0.0,protein-coding gene,Immune system,0.0,0.000315856
AR,Monocytes,0.013,protein-coding gene,Immune system,0.0,0.00189514
CXCR4,Monocytes,0.04,protein-coding gene,Immune system,0.269231,0.197726
CD86,Monocytes,0.026,protein-coding gene,Immune system,0.0769231,0.0116867
CCR2,Monocytes,0.022,protein-coding gene,Immune system,0.0,0.0
TNFRSF14,Monocytes,0.019,protein-coding gene,Immune system,0.0384615,0.0243209
ADA2,Monocytes,0.002,protein-coding gene,Immune system,0.0,0.0129501
MGMT,Monocytes,0.027,protein-coding gene,Immune system,0.0,0.0862287
CD14,Monocytes,0.051,protein-coding gene,Immune system,0.269231,0.0246368
CD33,Monocytes,0.017,protein-coding gene,Immune system,0.0,0.0126342
ITGAM,Monocytes,0.025,protein-coding gene,Immune system,0.0,0.00315856
